,gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
87782,43892,200011010LAL,NBA,1,2001,11/1/2000,2,0,UTA,Jazz,97,1561.4548,1574.092,48.621871999999996,LAL,Lakers,92,1658.3303,1645.6931,A,W,0.24355143,
87783,43892,200011010LAL,NBA,0,2001,11/1/2000,2,0,LAL,Lakers,92,1658.3303,1645.6931,55.559273,UTA,Jazz,97,1561.4548,1574.092,H,L,0.75644857,
87784,43893,200011010MIA,NBA,0,2001,11/1/2000,1,0,MIA,Heat,105,1574.6288,1584.976,49.718132000000004,ORL,Magic,79,1522.6770000000001,1512.3298,H,W,0.7057237,
87785,43893,200011010MIA,NBA,1,2001,11/1/2000,2,0,ORL,Magic,79,1522.6770000000001,1512.3298,42.232586,MIA,Heat,105,1574.6288,1584.976,A,L,0.2942763,
87786,43894,200011010PHI,NBA,0,2001,11/1/2000,2,0,PHI,Sixers,104,1591.9641,1594.9026,50.706759999999996,TOR,Raptors,98,1475.0828,1472.1443,H,W,0.77703482,
87787,43894,200011010PHI,NBA,1,2001,11/1/2000,2,0,TOR,Raptors,98,1475.0828,1472.1443,38.022923,PHI,Sixers,104,1591.9641,1594.9026,A,L,0.22296518,
87788,43895,200011010SEA,NBA,1,2001,11/1/2000,1,0,DEN,Nuggets,99,1438.6456,1432.5206,33.932602,SEA,Thunder,112,1500.6969,1506.8219,A,L,0.28234845,
87789,43895,200011010SEA,NBA,0,2001,11/1/2000,2,0,SEA,Thunder,112,1500.6969,1506.8219,41.655144,DEN,Nuggets,99,1438.6456,1432.5206,H,W,0.71765155,
87790,43896,200011020DAL,NBA,0,2001,11/2/2000,2,0,DAL,Mavericks,94,1545.2712,1551.9282,46.355872999999995,IND,Pacers,88,1606.1388,1599.4818,H,W,0.55607915,
87791,43896,200011020DAL,NBA,1,2001,11/2/2000,2,0,IND,Pacers,88,1606.1388,1599.4818,51.158901,DAL,Mavericks,94,1545.2712,1551.9282,A,L,0.44392085,
87792,43897,200011020DEN,NBA,0,2001,11/2/2000,2,0,DEN,Nuggets,101,1432.5206,1435.4452,34.23064,GSW,Warriors,97,1354.5343,1351.6097,H,W,0.73586214,
87793,43897,200011020DEN,NBA,1,2001,11/2/2000,2,0,GSW,Warriors,97,1354.5343,1351.6097,26.08918,DEN,Nuggets,101,1432.5206,1435.4452,A,L,0.26413786,
87794,43898,200011020HOU,NBA,0,2001,11/2/2000,2,0,HOU,Rockets,115,1482.2604,1495.9146,40.511089,MIL,Bucks,93,1518.8068,1505.1526,H,W,0.59031516,
87795,43898,200011020HOU,NBA,1,2001,11/2/2000,2,0,MIL,Bucks,93,1518.8068,1505.1526,41.480076000000004,HOU,Rockets,115,1482.2604,1495.9146,A,L,0.40968484,
87796,43899,200011020LAC,NBA,1,2001,11/2/2000,2,0,VAN,Grizzlies,99,1379.7975,1388.7146,29.576458000000002,LAC,Clippers,91,1274.9213,1266.0042,A,W,0.50701702,
87797,43899,200011020LAC,NBA,0,2001,11/2/2000,2,0,LAC,Clippers,91,1274.9213,1266.0042,18.977048999999997,VAN,Grizzlies,99,1379.7975,1388.7146,H,L,0.49298301,
87798,43900,200011020NYK,NBA,0,2001,11/2/2000,2,0,NYK,Knicks,94,1525.9358,1531.3816,44.224728000000006,ATL,Hawks,69,1354.0496,1348.6038,H,W,0.82708436,
87799,43900,200011020NYK,NBA,1,2001,11/2/2000,2,0,ATL,Hawks,69,1354.0496,1348.6038,25.816339000000003,NYK,Knicks,94,1525.9358,1531.3816,A,L,0.17291564,
87800,43901,200011020PHO,NBA,1,2001,11/2/2000,2,0,POR,Trailblazers,82,1629.7705,1613.8929,52.564285,PHO,Suns,108,1585.4465,1601.3241,A,L,0.42055464,
87801,43901,200011020PHO,NBA,0,2001,11/2/2000,2,0,PHO,Suns,108,1585.4465,1601.3241,51.340073,POR,Trailblazers,82,1629.7705,1613.8929,H,W,0.57944536,
87802,43902,200011020SAS,NBA,1,2001,11/2/2000,2,0,MIN,Timberwolves,91,1561.5936,1555.1967,46.69249,SAS,Spurs,103,1603.7402,1610.1372,A,L,0.30613279,
87803,43902,200011020SAS,NBA,0,2001,11/2/2000,2,0,SAS,Spurs,103,1603.7402,1610.1372,52.200691,MIN,Timberwolves,91,1561.5936,1555.1967,H,W,0.69386721,
87804,43903,200011030BOS,NBA,1,2001,11/3/2000,3,0,TOR,Raptors,91,1472.1443,1469.4275,37.739594,BOS,Celtics,93,1509.4957,1512.2125,A,L,0.31202728,
87805,43903,200011030BOS,NBA,0,2001,11/3/2000,2,0,BOS,Celtics,93,1509.4957,1512.2125,42.220290999999996,TOR,Raptors,91,1472.1443,1469.4275,H,W,0.68797272,
87806,43904,200011030CHH,NBA,1,2001,11/3/2000,2,0,MIA,Heat,79,1584.976,1579.8837,49.206738,CHH,Pelicans,83,1540.6703,1545.7626,A,L,0.42052895,
87807,43904,200011030CHH,NBA,0,2001,11/3/2000,3,0,CHH,Pelicans,83,1540.6703,1545.7626,45.718899,MIA,Heat,79,1584.976,1579.8837,H,W,0.57947105,
87808,43905,200011030CHI,NBA,1,2001,11/3/2000,2,0,NJN,Nets,92,1436.5286,1446.1587,35.328495000000004,CHI,Bulls,82,1316.6208,1306.9907,A,W,0.52861822,
87809,43905,200011030CHI,NBA,0,2001,11/3/2000,2,0,CHI,Bulls,82,1316.6208,1306.9907,22.205942,NJN,Nets,92,1436.5286,1446.1587,H,L,0.47138181,
87810,43906,200011030DET,NBA,1,2001,11/3/2000,3,0,SAC,Kings,100,1540.8604,1551.7568,46.3382,DET,Pistons,93,1517.1669,1506.2704,A,W,0.39191836,
87811,43906,200011030DET,NBA,0,2001,11/3/2000,3,0,DET,Pistons,93,1517.1669,1506.2704,41.597305,SAC,Kings,100,1540.8604,1551.7568,H,L,0.60808164,
87812,43907,200011030ORL,NBA,1,2001,11/3/2000,3,0,PHI,Sixers,87,1594.9026,1603.8619,51.58894,ORL,Magic,80,1512.3298,1503.3705,A,W,0.47494119,
87813,43907,200011030ORL,NBA,0,2001,11/3/2000,3,0,ORL,Magic,80,1512.3298,1503.3705,41.293156,PHI,Sixers,87,1594.9026,1603.8619,H,L,0.52505881,
87814,43908,200011030WAS,NBA,1,2001,11/3/2000,3,0,NYK,Knicks,80,1531.3816,1538.4146,44.956776,WAS,Wizards,76,1461.1727,1454.1398,A,W,0.45723188,
87815,43908,200011030WAS,NBA,0,2001,11/3/2000,3,0,WAS,Wizards,76,1461.1727,1454.1398,36.151866999999996,NYK,Knicks,80,1531.3816,1538.4146,H,L,0.54276812,
87816,43909,200011040ATL,NBA,1,2001,11/4/2000,4,0,ORL,Magic,107,1503.3705,1507.889,41.767047999999996,ATL,Hawks,104,1348.6038,1344.0852,A,W,0.57816929,
87817,43909,200011040ATL,NBA,0,2001,11/4/2000,3,0,ATL,Hawks,104,1348.6038,1344.0852,25.409128,ORL,Magic,107,1503.3705,1507.889,H,L,0.42183071,
87818,43910,200011040CLE,NBA,1,2001,11/4/2000,3,0,BOS,Celtics,89,1512.2125,1508.0045,41.77916,CLE,Cavaliers,91,1448.4338,1452.6418,A,L,0.44806135,
87819,43910,200011040CLE,NBA,0,2001,11/4/2000,3,0,CLE,Cavaliers,91,1448.4338,1452.6418,35.997009000000006,BOS,Celtics,89,1512.2125,1508.0045,H,W,0.55193865,
