Kommun_code,Year,Kommun_name,Revenue,Employee,Population,Population_University,Percent_University,Productivity,SalesIndex,Infrast,Border
428,2010,Ving�ker,317,182,8893,535,0.06015968,87.28943,32.663284,0,0
461,2010,Gnesta,85,49,10360,921,0.08889961,86.93539,8.758294,0,0
480,2010,Nyk�ping,1642,708,51644,5487,0.10624661,116.22877,169.189631,0,0
481,2010,Oxel�sund,106,76,11193,787,0.0703118,69.89821,10.922108,1,0
482,2010,Flen,136,83,16028,1144,0.07137509,82.11728,14.01327,0,0
483,2010,Katrineholm,666,386,32428,2665,0.08218206,86.46905,68.623809,0,0
484,2010,Eskilstuna,2844,1485,96311,9898,0.10277123,95.97915,293.04221,0,0
486,2010,Str�ngn�s,616,278,32419,3848,0.11869583,111.04773,63.471871,0,0
488,2010,Trosa,115,87,11462,1100,0.09596929,66.24489,11.849456,0,0
509,2010,�desh�g,41,30,5284,348,0.0658592,68.49145,4.224589,0,0
512,2010,Ydre,17,14,3672,318,0.08660131,60.85477,1.751659,0,0
513,2010,Kinda,56,34,9762,807,0.08266749,82.5435,5.77017,0,0
560,2010,Boxholm,11,2,5221,301,0.05765179,275.63633,1.133426,0,0
561,2010,�tvidaberg,75,60,11504,794,0.06901947,62.64462,7.727906,0,0
562,2010,Finsp�ng,249,73,20747,1645,0.07928857,170.94258,25.656649,0,0
563,2010,Valdemarsvik,135,77,7760,492,0.06340206,87.86518,13.910231,0,0
580,2010,Link�ping,5348,2280,146416,26023,0.17773331,117.55208,551.051245,0,0
581,2010,Norrk�ping,4438,2630,130050,14526,0.1116955,84.56785,457.285981,0,0
582,2010,S�derk�ping,237,137,14024,1334,0.09512265,86.6965,24.420184,0,0
583,2010,Motala,1040,497,41955,3424,0.08161125,104.86987,107.160302,0,0
584,2010,Vadstena,86,66,7391,789,0.10675145,65.30227,8.861333,0,0
586,2010,Mj�lby,548,304,25856,2128,0.08230198,90.34014,56.465236,0,0
604,2010,Aneby,52,42,6393,471,0.07367433,62.048,5.358015,0,0
617,2010,Gnosj�,35,24,9546,486,0.05091138,73.08539,3.606356,0,0
642,2010,Mullsj�,23,54,7033,602,0.08559647,21.34557,2.369891,0,0
643,2010,Habo,80,68,10741,1097,0.10213202,58.95964,8.2431,0,0
662,2010,Gislaved,581,259,29111,1726,0.0592903,112.4217,59.865515,0,0
665,2010,Vaggeryd,63,39,12991,978,0.07528289,80.95612,6.491441,0,0
